"FECHA_HECHO","LONGITUD","LATITUD","SEXO","EDAD","MODALIDAD","LUGAR","NOMBRE_BARRIO","COMUNA"
"2004-03-31T08:00:00.000-05:00",-75.567213,6.242143,"Mujer",20,"Cortopunzante","Desconocido","Las Palmas","LA CANDELARIA"
"2005-04-16T12:00:00.000-05:00",-75.585403,6.209278,"Hombre",27,"Arma de fuego","Desconocido","Campo Amor","GUAYABAL"
"2008-10-11T04:00:00.000-05:00",-75.573747,6.290655,"Hombre",19,"Arma de fuego","Desconocido","Castilla","CASTILLA"
"2008-10-11T22:00:00.000-05:00",-75.601495,6.210798,"Hombre",28,"Arma de fuego","Desconocido","El Rincón","BELEN"
"2004-08-09T13:00:00.000-05:00",-75.564784,6.255203,"Hombre",28,"Arma de fuego","Desconocido","Villa Nueva","LA CANDELARIA"
"2004-06-26T00:00:00.000-05:00",-75.538832,6.284495,"Hombre",18,"Arma de fuego","Desconocido","María Cano-Carambolas","MANRIQUE"
"2004-06-27T05:00:00.000-05:00",-75.560547,6.292754,"Hombre",7,"Arma de fuego","Desconocido","Santa Cruz","SANTA CRUZ"
"2005-05-08T16:00:00.000-05:00",-75.606399,6.24481,"Hombre",19,"Arma de fuego","Desconocido","Simón Bolívar","LA AMERICA"
"2012-09-13T22:53:00.000-05:00",-75.557612,6.26952,"Hombre",22,"Arma de fuego","Vía pública","Manrique Central No.1","ARANJUEZ"
"2008-11-20T01:00:00.000-05:00",-75.578255,6.276658,"Mujer",28,"Arma de fuego","Desconocido","Altamira","ROBLEDO"
"2008-11-03T08:00:00.000-05:00",-75.57041,6.28927,"Hombre",50,"Contundente","Desconocido","Castilla","CASTILLA"
"2007-03-11T09:00:00.000-05:00",-75.564388,6.295419,"Hombre",19,"Arma de fuego","Desconocido","Belalcázar","CASTILLA"
"2007-03-19T14:00:00.000-05:00",-75.576874,6.232408,"Hombre",50,"Arma de fuego","Desconocido","Tenche","GUAYABAL"
"2007-09-13T22:00:00.000-05:00",-75.582083,6.224107,"Hombre",19,"Arma de fuego","Desconocido","Santa Fé","GUAYABAL"
"2008-09-27T15:00:00.000-05:00",-75.607313,6.230719,"Hombre",33,"Arma de fuego","Desconocido","Los Alpes","BELEN"
"2008-09-28T01:00:00.000-05:00",-75.550781,6.271405,"Hombre",23,"Arma de fuego","Desconocido","Campo Valdés No.2","MANRIQUE"
"2010-04-14T13:00:00.000-05:00",-75.533521,6.235316,"Hombre",33,"Arma de fuego","Vía pública","Villa Lilliam","VILLA HERMOSA"
"2008-12-13T03:00:00.000-05:00",-75.579329,6.287408,"Hombre",24,"Arma de fuego","Desconocido","Kennedy","DOCE DE OCTUBRE"
"2014-06-28T22:30:00.000-05:00",-75.625584,6.248913,"Mujer",38,"Cortopunzante","Residencia","Las Independencias","SAN JAVIER"
"2012-05-13T05:00:00.000-05:00",-75.586131,6.208998,"Hombre",20,"Arma de fuego","Vía pública","Cristo Rey","GUAYABAL"
"2012-09-08T14:16:00.000-05:00",-75.63391,6.29136,"Hombre",30,"Cortopunzante","Zona despoblada","La Ilusión","SAN CRISTOBAL"
"2012-02-20T20:30:00.000-05:00",-75.561778,6.28999,"Hombre",14,"Arma de fuego","Vía pública","San Isidro","ARANJUEZ"
"2012-08-31T14:21:00.000-05:00",-75.655815,6.187578,"Hombre",17,"Arma de fuego","Vía pública","San Antonio de Prado","SAN ANTONIO DE PRADO"
"2007-09-02T20:00:00.000-05:00",-75.572872,6.290957,"Hombre",43,"Arma de fuego","Desconocido","Castilla","CASTILLA"
"2007-12-09T04:00:00.000-05:00",-75.557932,6.283477,"Hombre",34,"Arma de fuego","Desconocido","Berlín","ARANJUEZ"
"2007-12-12T06:00:00.000-05:00",-75.566919,6.254791,"Hombre",19,"Cortopunzante","Desconocido","Estación Villa","LA CANDELARIA"
"2007-12-14T07:00:00.000-05:00",-75.569159,6.25484,"Hombre",35,"Arma de fuego","Desconocido","Estación Villa","LA CANDELARIA"
"2007-10-17T03:00:00.000-05:00",-75.628889,6.270697,"Hombre",35,"Arma de fuego","Desconocido","La Loma","SAN CRISTOBAL"
"2008-09-04T03:00:00.000-05:00",-75.564318,6.288143,"Hombre",27,"Arma de fuego","Desconocido","Palermo","ARANJUEZ"
"2008-07-12T21:00:00.000-05:00",-75.54656,6.288297,"Hombre",38,"Cortopunzante","Desconocido","Moscú No.2","POPULAR"
"2007-11-17T02:00:00.000-05:00",-75.546706,6.287806,"Hombre",41,"Arma de fuego","Desconocido","Moscú No.2","POPULAR"
"2007-11-18T03:00:00.000-05:00",-75.543525,6.28348,"Hombre",24,"Arma de fuego","Desconocido","San José La Cima No.1","MANRIQUE"
"2007-12-23T11:00:00.000-05:00",-75.559489,6.305525,"Hombre",30,"Arma de fuego","Desconocido","Toscana","CASTILLA"
"2007-12-24T04:00:00.000-05:00",-75.612355,6.221866,"Hombre",24,"Arma de fuego","Desconocido","Altavista","ALTAVISTA"
"2008-07-13T23:00:00.000-05:00",-75.586771,6.22736,"Hombre",30,"Arma de fuego","Desconocido","Trinidad","GUAYABAL"
"2007-05-17T12:00:00.000-05:00",-75.597438,6.249522,"Hombre",66,"Arma de fuego","Desconocido","Lorena","LAURELES"
"2007-10-21T02:00:00.000-05:00",-75.572017,6.285159,"Hombre",26,"Arma de fuego","Desconocido","Francisco Antonio Zea","CASTILLA"
"2008-05-10T19:00:00.000-05:00",-75.57519,6.295411,"Hombre",31,"Arma de fuego","Desconocido","La Esperanza","DOCE DE OCTUBRE"
"2008-05-12T10:00:00.000-05:00",-75.596897,6.226165,"Hombre",38,"Arma de fuego","Desconocido","San Bernardo","BELEN"
"2008-09-06T01:00:00.000-05:00",-75.542954,6.296023,"Mujer",54,"Cortopunzante","Desconocido","Santo Domingo Savio No.1","POPULAR"
"2008-06-29T05:00:00.000-05:00",-75.54556,6.28576,"Hombre",32,"Arma de fuego","Desconocido","San Pablo","POPULAR"
"2007-03-24T03:00:00.000-05:00",-75.566224,6.245082,"Mujer",25,"Ahorcamiento o estrangulamiento","Desconocido","Barrio Colón","LA CANDELARIA"
"2007-10-29T09:00:00.000-05:00",-75.579536,6.295052,"Hombre",28,"Arma de fuego","Desconocido","San Martín de Porres","DOCE DE OCTUBRE"
"2007-08-02T20:00:00.000-05:00",-75.546626,6.265858,"Hombre",19,"Arma de fuego","Desconocido","Manrique Oriental","MANRIQUE"
"2007-08-04T08:00:00.000-05:00",-75.575151,6.283676,"Mujer",18,"Arma de fuego","Desconocido","Alfonso López","CASTILLA"
"2007-08-10T01:00:00.000-05:00",-75.610569,6.251148,"Hombre",37,"Arma de fuego","Desconocido","Santa Mónica","LA AMERICA"
"2008-05-17T17:00:00.000-05:00",-75.567076,6.252945,"Hombre",35,"Cortopunzante","Desconocido","La Candelaria","LA CANDELARIA"
"2008-05-18T03:00:00.000-05:00",-75.55705,6.250328,"Hombre",25,"Cortopunzante","Desconocido","Los Ángeles","LA CANDELARIA"
"2008-05-19T03:00:00.000-05:00",-75.612764,6.234667,"Hombre",25,"Cortopunzante","Desconocido","Las Violetas","BELEN"
"2008-03-15T12:00:00.000-05:00",-75.553769,6.29787,"Hombre",23,"Arma de fuego","Desconocido","Andalucía","SANTA CRUZ"
"2008-03-16T17:00:00.000-05:00",-75.583921,6.289866,"Hombre",74,"Cortopunzante","Desconocido","Kennedy","DOCE DE OCTUBRE"
"2007-07-01T22:00:00.000-05:00",-75.578274,6.293545,"Hombre",33,"Arma de fuego","Desconocido","La Esperanza","DOCE DE OCTUBRE"
"2007-08-14T06:00:00.000-05:00",-75.546493,6.244942,"Hombre",35,"Cortopunzante","Desconocido","El Pinal","VILLA HERMOSA"
"2007-08-16T20:00:00.000-05:00",-75.563668,6.286221,"Hombre",42,"Arma de fuego","Desconocido","Palermo","ARANJUEZ"
"2007-08-17T05:00:00.000-05:00",-75.578185,6.226175,"Hombre",53,"Arma de fuego","Desconocido","Trinidad","GUAYABAL"
"2007-08-21T04:00:00.000-05:00",-75.537811,6.276998,"Hombre",8,"Contundente","Desconocido","Oriente","MANRIQUE"
"2008-07-27T23:00:00.000-05:00",-75.587294,6.225527,"Hombre",17,"Cortopunzante","Desconocido","Trinidad","GUAYABAL"
